1 19 8
1 17 11
1 3 12
1 12 9
1 4 9
1 16 14
1 7 13
1 4 15
1 3 14
1 3 4
1 4 15
1 20 13
1 10 18
1 7 16
1 6 13
1 8 15
1 20 12
1 7 16
1 4 12
1 16 12
2 15 4
2 20 16
2 15 12
2 20 2
2 8 2
2 7 3
2 18 3
2 7 2
2 1 12
2 13 14
3 10 2
3 20 15
3 19 20
3 7 2
3 7 11
3 14 18
3 2 16
3 10 19
3 11 19
3 2 1
4 16 1
4 16 6
4 10 16
4 18 5
4 13 12
4 2 17
4 12 8
4 13 5
4 16 7
4 12 7
5 9 8
5 4 9
5 17 7
5 3 7
5 15 5
5 11 16
5 13 16
5 12 16
5 19 5
5 12 9
6 9 8
6 12 5
6 17 13
6 15 16
6 5 16
6 4 16
6 6 5
6 20 16
6 19 7
6 13 9
7 15 18
7 3 8
7 7 16
7 5 15
7 19 3
7 15 14
7 19 11
7 5 13
7 20 4
7 12 8
8 18 14
8 6 18
8 17 5
8 7 2
8 20 11
8 12 3
8 20 5
8 15 1
8 4 6
8 19 18
9 6 2
9 4 19
9 10 2
9 1 8
9 11 7
9 8 7
9 6 10
9 4 7
9 10 14
9 12 13
9 15 14
9 1 12
9 2 8
10 16 14
10 3 18
10 3 15
10 11 13
10 8 14
10 20 12
10 5 6
10 9 10
10 6 18
10 1 15
11 11 2
11 1 7
11 20 10
11 19 16
11 20 1
11 9 1
11 12 14
11 20 15
11 19 16
11 20 6
12 6 2
12 8 19
12 5 9
12 19 5
12 1 4
12 5 4
12 14 8
12 6 18
12 8 17
12 15 19
13 8 13
13 9 13
13 6 15
13 7 14
13 7 2
13 9 6
13 8 20
13 12 15
13 7 19
13 7 15
13 9 11
13 7 11
13 9 15
13 7 12
13 4 12
13 12 16
13 9 13
13 15 4
13 17 10
13 6 14
13 5 17
13 15 14
13 15 13
13 7 16
13 17 7
13 1 14
13 2 11
13 17 12
14 16 12
14 6 18
14 2 16
14 5 19
14 3 12
14 16 18
14 1 20
14 8 14
14 2 18
14 14 10
15 6 7
15 3 15
15 6 2
15 19 1
15 14 18
15 1 18
15 7 19
15 19 16
15 10 5
15 10 2
16 8 19
16 8 4
16 2 5
16 8 15
16 14 13
16 15 3
16 2 9
16 6 10
16 2 1
16 12 10
17 18 17
17 18 7
17 3 7
17 14 13
17 14 11
17 20 11
17 13 7
17 15 9
17 3 9
17 20 6
18 12 5
18 6 1
18 6 9
18 10 9
18 12 13
18 14 18
18 1 3
18 5 20
18 14 9
18 8 17
18 10 13
18 4 18
18 13 1
18 6 2
18 7 14
18 4 9
18 11 16
18 8 18
18 19 6
18 5 3
19 3 16
19 5 6
19 14 16
19 6 14
19 7 1
19 17 1
19 7 2
19 20 2
19 13 16
19 14 2
19 19 11
20 11 12
20 2 11
20 16 15
20 16 19
20 5 20
20 1 6
20 9 8
20 1 4
20 12 1
20 6 13
20 14 5
20 12 8
20 5 8
20 6 18
20 17 4
20 2 7
20 17 20
20 3 10
20 16 20
20 6 8
21 18 17
21 19 8
21 19 2
21 17 8
21 12 9
21 14 16
21 20 1
21 19 9
21 17 1
21 16 9
21 20 9
21 12 4
21 9 5
21 2 8
21 3 8
21 12 6
21 13 6
21 11 8
21 12 8
21 14 3
22 17 18
22 5 20
22 13 9
22 15 12
22 11 18
22 19 6
22 9 2
22 20 19
22 6 1
22 2 13
23 16 6
23 2 17
23 4 7
23 12 7
23 19 3
23 14 3
23 19 13
23 19 11
23 9 6
23 2 18
24 4 9
24 16 6
24 16 5
24 7 3
24 15 5
24 20 1
24 15 10
24 20 12
24 17 1
24 3 9
25 9 18
25 7 17
25 9 13
25 11 4
25 6 5
25 9 7
25 3 5
25 10 9
25 17 16
25 12 20
25 14 1
25 11 8
25 17 13
25 20 18
25 14 3
25 12 10
25 19 13
25 19 1
25 4 10
25 12 20
26 8 4
26 8 5
26 10 7
26 2 17
26 18 20
26 4 7
26 15 4
26 18 7
26 15 19
26 17 6
27 16 6
27 9 10
27 2 17
27 11 6
27 11 20
27 2 18
27 11 14
27 11 19
27 7 19
27 8 11
28 2 3
28 15 3
28 2 5
28 12 19
28 17 19
28 3 20
28 1 13
28 1 5
28 10 1
28 5 19
29 15 18
29 9 8
29 5 8
29 4 13
29 16 2
29 9 14
29 17 9
29 11 6
29 19 5
29 12 8
30 2 16
30 15 8
30 10 19
30 9 2
30 17 19
30 4 16
30 4 7
30 15 13
30 19 13
30 9 16
31 5 10
31 18 16
31 12 19
31 7 1
31 10 11
31 14 9
31 2 18
31 1 17
31 12 18
31 12 9
32 7 1
32 4 18
32 7 2
32 2 18
32 17 19
32 17 20
32 15 11
32 1 2
32 20 18
32 14 19
33 18 15
33 17 15
33 7 13
33 3 8
33 3 10
33 3 7
33 20 5
33 4 14
33 17 5
33 16 13
34 5 7
34 9 19
34 5 7
34 4 2
34 2 19
34 16 18
34 3 13
34 2 7
34 1 11
34 4 2
35 9 4
35 10 14
35 3 17
35 1 5
35 18 3
35 1 3
35 9 1
35 18 8
35 10 4
35 10 7
36 10 13
36 19 8
36 7 5
36 9 6
36 11 2
36 11 1
36 11 13
36 11 2
36 16 7
36 19 5
37 15 1
37 1 11
37 4 18
37 7 12
37 1 19
37 4 18
37 2 18
37 17 20
37 18 12
37 20 6
38 16 19
38 11 13
38 2 4
38 20 3
38 1 12
38 2 20
38 20 3
38 13 14
38 11 16
38 12 9
39 17 16
39 5 6
39 20 10
39 2 7
39 8 16
39 2 8
39 11 19
39 2 13
39 8 17
39 6 17
40 9 18
40 9 1
40 17 13
40 1 3
40 17 11
40 8 7
40 6 10
40 8 3
40 9 4
40 16 2
40 16 15
40 13 14
40 9 13
41 14 17
41 10 9
41 1 11
41 20 11
41 1 20
41 14 4
41 12 3
41 1 5
41 16 7
41 16 17
42 14 7
42 11 4
42 5 1
42 4 17
42 14 4
42 12 13
42 1 19
42 6 18
42 15 10
42 15 9
43 4 13
43 9 5
43 3 8
43 10 20
43 19 2
43 4 7
43 19 18
43 14 13
43 4 7
43 9 14
44 6 2
44 12 16
44 8 16
44 8 14
44 17 2
44 15 16
44 13 10
44 3 1
44 11 2
44 5 9
45 5 4
45 6 9
45 16 10
45 7 11
45 16 18
45 12 20
45 9 14
45 5 18
45 3 14
45 12 9
46 20 14
46 20 4
46 11 2
46 17 13
46 16 14
46 17 3
46 13 14
46 2 14
46 20 7
46 12 5
47 3 19
47 5 20
47 4 10
